code	density	density4
59487	205.78	3
59488	303.74	2
59489	366.04	2
59490	30.49	3
59491	361.77	1
59492	117.79	2
59493	23.82	4
59494	148.3	3
59495	395.13	2
59496	36.74	3
59497	113.27	3
59498	127.08	3
59499	150.51	3
59500	43.23	3
59501	171.83	2
59502	189.05	2
59503	88.57	3
59504	934.59	2
59505	157.41	3
59506	80.34	3
59507	3588.73	1
59508	1309.63	1
59509	839.48	2
59511	246.57	2
59512	7534.44	1
59513	144.67	3
59514	705.39	2
59515	202.53	2
59516	62.53	3
59517	42.91	3
59518	67.91	3
59519	230.52	2
59520	217.21	3
59521	130.91	2
59522	446.3	2
59523	272.85	2
59524	726.83	2
59525	174.56	3
59526	474.15	2
59527	4113.95	1
59528	194.18	3
59529	34.88	3
59530	79.32	3
59531	73.57	3
59532	36.77	4
59533	240.33	2
59534	53.13	3
59535	211.08	3
59536	116.23	3
59537	96.1	3
59538	71.18	3
59539	112.54	3
59541	135.18	3
59542	95.06	3
59543	180.9	2
59544	932.22	1
59545	96.69	3
59546	145.15	3
59547	197.46	2
59548	113.35	3
59549	72.17	3
59550	578.74	3
59551	198.6	2
59552	50.54	4
59553	755.44	2
59554	243.95	3
59555	182.44	3
59556	62.96	4
59557	399.57	2
59558	167.8	3
59559	141.86	3
59560	738.89	2
59562	39.93	3
59563	77.27	3
59564	812.29	1
59565	110.09	3
59566	1204.72	1
59567	57.66	3
59568	98.74	3
59569	1359.12	1
59570	112.54	3
59571	186.94	3
59572	130.31	3
59573	26.95	4
59574	964	2
59575	111.69	3
59576	187.85	3
59577	69.49	3
59578	139.6	3
59579	134.13	3
59580	145.11	3
59581	130.21	3
59582	205.11	3
59583	56.11	3
59584	59.96	3
59585	795.28	1
59586	427.27	2
59587	59.25	3
59588	279.47	2
59589	361.14	2
59590	122.72	3
59591	206.58	3
59592	575.22	2
59593	136.08	3
59594	303.2	3
59595	91.93	3
59596	99.39	3
59597	218.13	2
59598	1645.27	1
59599	6556.31	1
59600	465.47	2
59601	69.95	3
59602	753.2	2
59603	900.28	2
59604	96.24	3
59605	188.75	2
59606	3132.23	1
59607	49.02	3
59608	173.38	3
59609	608.95	2
59610	115.15	3
59611	269.78	2
59612	89.87	3
59613	370.11	2
59614	130.96	3
59615	103.14	3
59616	948.78	2
59617	107.99	3
59618	77.81	3
59619	186.58	3
59620	147.81	3
59622	131.23	3
59623	60.33	3
59624	306.24	3
59625	35.69	3
59626	105.24	3
59627	119.11	3
59628	56.67	3
59629	387.42	3
59630	464.74	2
59631	140.56	3
59632	267.28	2
59633	36.78	4
59634	147.33	3
59635	59.79	3
59636	702.26	1
59637	212.14	3
59638	359.97	2
59639	197.24	3
59640	151.12	3
59641	73.76	3
59642	153.51	3
59643	56.93	3
59645	112.91	3
59646	3052.32	1
59647	332.81	3
59648	2487.02	1
59649	38.72	3
59650	2988.69	1
59651	684.37	2
59652	110.99	3
59653	573.68	2
59654	1707.93	1
59655	57.56	3
59656	1044.77	2
59657	84.19	3
59658	195.31	2
59659	203.84	3
59660	518.1	2
59661	32.2	3
59662	84.16	3
59663	210.42	3
59664	114.28	3
59665	119.31	3
59666	88.89	3
59667	48.99	3
59668	621.93	3
59669	44.95	3
59670	614.5	2
