pid	code	cm_nat0	cm_nat1	cm_seat
454a9d86160994ed630655644c819714	59065	1	1	0
e3b663b6899e8981e5a3cfc6b97ee837	59065	1	0	0
392b34aeb69d57bcd6f67f8ca0d2334f	59065	1	1	0
84edf30fb5cd358ffb61a24def8f5c48	59065	1	0	0
6fbce6f8646116d306001b2d4dbd5795	59065	1	1	0
f5870d24256a674a493c8231208658e3	59065	1	1	0
8fbcc19478dbd77ff1720be20748612a	59065	1	1	0
1c20413b3f191f9e26539b187491db01	59065	1	1	0
8269e2481320317428ad37d57d444641	59065	1	1	0
6d9651816d5dbfad6fa845fbbb8f22d8	59065	1	1	0
c1872a206072c4c5579daa976f196487	59065	1	0	0
66b60ede869a0604a2a920cc8b9db213	59065	1	1	0
163c5668d55c8ae9c9c9cf3e9b6b74ce	59065	1	1	0
26959da50b57ab9d1851ae1b21aaaab4	59065	1	1	0
4ee3a14fe823276e967cd20eb9a91276	59065	1	1	0
eae6da46a932af6302f4ca103f36a4d1	59065	1	0	0
0f5cc48c45acbfbf03a693ebb73cc92e	59065	1	1	0
224f3d521b312892b2576cf6db219343	59065	1	1	0
5df8fcd06d682ef619734c7b9fc29cad	59065	1	1	0
3b487573d08c1ce6b5d4e5a79ef9dee8	59065	1	1	0
061364c1f8a751de804423d20ba10d9f	59065	1	1	0
aa8fc2b45f48633d5dee894101cf124b	59065	1	1	0
84caa1be974b93a3345534ef396ba10a	59065	1	1	0
bcec9508acb88bf65e3bc43a28dc6396	59065	1	0	0
85531ab898a13499e1e478a41b7ded8b	59065	1	1	0
cb52dda11a30f6d205ab195f3fe8278e	59065	1	0	0
0dee267b2f9da9b9c7533bdb794cb009	59065	1	1	0
de248401a3184b7eb8f4d0b2df5787a3	59065	1	1	0
aef2a397107355c918263ec78fb9ed84	59068	1	1	0
f463597ad54b251a46b47bb4f03eb3a8	59068	1	1	0
d8bab1deacd31267c17539b6e4365811	59068	1	1	0
b2d7d75a73e9f505b26676900389a050	59068	1	1	0
efff689659f5460d2880bae304552e4e	59068	1	0	0
291534f319eae75fb06429c7302807ff	59068	1	1	0
5d46f4f496f93d868f4539f8655ccc27	59068	1	1	0
de33527e858fe2ae9d9e952fe9f36bce	59068	1	0	0
3c9b21f11a37865c9532d46c66ca6184	59068	1	1	0
9df90f8c10d01b636a275ff36c54c3a9	59068	1	0	0
8fbe5332a507e74496054abd475f0bb6	59068	1	1	0
b5cdea8569cfbb7a8619cb4b7c473261	59068	1	1	0
c433cb63794f1e681f43c029ec6ab4a3	59068	1	0	0
284657523a51e026b1d424336806fa02	59068	1	0	0
91f398ad875a0da64c04eabd9991ec7b	59068	1	1	1
e94a98d307b066d73640080b0ed37fa5	59068	1	1	0
2115e69dc99bec70e6ab1bfb212fbfff	59068	1	0	0
2d9a1445f9518547324bfe514b994589	59068	1	1	0
5284ebe2e6d011e518dd8f28947364f3	59077	1	1	0
b7fe317bd9a34e0eb8bda909793c9f5a	59077	1	0	0
6a238628e909151aa981463a113548f4	59077	1	1	1
2e506cc4c0878e1e0dc316acb7062921	59077	1	0	0
8986c3dbb099b05db137c14b7ace0810	59077	1	1	0
3606d2889c573666d83ba6633b75ce79	59077	1	1	0
7a513e090bd559e29f1cde919d90a1c4	59077	1	0	0
fe39ed5692d51e3f10897f78d8abab82	59104	1	1	1
a8a5aab05d99539c6fe5c8b51a67d950	59104	1	1	0
cc52b1545326dbc940b99a8dd661e308	59104	1	1	1
e53fd9732c197b09627cdd68e91844cf	59104	1	1	0
ab9575ed60e29f6aae4db6a26b4b9288	59104	1	0	0
491e415c0b8cf3727a82298105d2a791	59104	1	0	0
696151d8ec3ff14d63e564fc81e40ed6	59104	1	1	0
62784ff648bafc1d20924f738a382cfe	59104	1	1	0
d7061bb875a85fd72cea36a8e882c566	59104	1	1	0
caf5b6589b7a3a0f07f11fe48a64acc7	59104	1	1	0
c200ecb44278905837afc6bee168c9f0	59104	1	1	0
80604a20adb6eec8b80c921d92c50d63	59104	1	1	0
deacb547dfb0e1ee3330c5bb6e3219c2	59104	1	0	0
a828c762965b3306f86c3bf98c5d8b78	59104	1	0	0
695c44ef354c5160e68d76d11b5cb457	59104	1	1	0
61e1465bc3f37396926df3a2a11bbfc0	59104	1	1	0
06d1b22619661f92ddbc932e26b33fa8	59104	1	1	0
c08f6951b634caf8d5f07bba08a95d28	59104	1	1	0
b069f28723c2a73b23f933468af575f3	59104	1	0	0
ffa2b967dac8ad7a7677526f4fb768fb	59104	1	1	0
e0bd0e5fd9eb5620b14083c392bdf8c4	59104	1	1	0
164547056c5a6bc6136c7b127fc32741	59198	1	1	0
bec92e9a170711f73256acd73743198b	59198	1	1	0
dcde9f637920c361892ee3193680fa33	59198	1	1	0
624080f5989c3af185da615dbe2c65b7	59198	1	1	0
77ab02102a3dc349a7d1a663561b4e48	59198	1	1	0
eae5b556ad3e1746d5cf925eb9d058c8	59198	1	1	0
d069c9c97ecba1cbcc6cb760582c8b56	59198	1	1	0
9011f53072c7fa53822e91f915d9f0de	59198	1	1	0
504ee620e2d1e22dcba70d6cdebe0853	59198	1	1	0
0c64177d114cf397bbf50b072960cbb2	59198	1	1	0
