city	code	ins	abs
Lynde	59366	616	101
Lys-lez-Lannoy	59367	9195	2603
Lécluse	59336	1003	217
Maing	59369	3060	853
Mairieux	59370	525	122
Malincourt	59372	397	94
Marbaix	59374	351	61
Marchiennes	59375	3651	916
Marcoing	59377	1471	276
Marcq-en-Baroeul	59378	29595	7239
Marcq-en-Ostrevent	59379	506	90
Maresches	59381	704	169
Maretz	59382	944	211
Marly	59383	8258	2618
Maroilles	59384	1181	291
Marpent	59385	1671	525
Marquette-en-Ostrevant	59387	1208	245
Marquette-lez-Lille	59386	7859	2016
Marquillies	59388	1601	401
Masnières	59389	1929	490
Masny	59390	2898	806
Mastaing	59391	697	124
Maubeuge	59392	18357	7301
Maulde	59393	828	240
Maurois	59394	272	72
Mazinghien	59395	243	80
Mecquignies	59396	478	87
Merckeghem	59397	511	109
Merris	59399	866	158
Merville	59400	7560	2115
Millam	59402	663	168
Millonfosse	59403	566	117
Moeuvres	59405	337	73
Monceau-Saint-Waast	59406	337	95
Monchaux-sur-Ecaillon	59407	499	86
Moncheaux	59408	1301	255
Monchecourt	59409	1867	492
Mons-en-Baroeul	59410	12723	4237
Mons-en-Pévèle	59411	1806	468
Montay	59412	212	48
Montigny-en-Cambrésis	59413	464	99
Montigny-en-Ostrevent	59414	3408	934
Montrécourt	59415	203	41
Morbecque	59416	2083	422
Mortagne-du-Nord	59418	1087	362
Mouchin	59419	1001	141
Moustier-en-Fagne	59420	38	6
Mouvaux	59421	10400	2421
Mérignies	59398	2651	400
Méteren	59401	1757	337
Naves	59422	517	102
Neuf-Berquin	59423	1037	207
Neuf-Mesnil	59424	837	209
Neuville-Saint-Rémy	59428	2758	729
Neuville-en-Avesnois	59425	222	37
Neuville-en-Ferrain	59426	8360	2246
Neuville-sur-Escaut	59429	1823	414
Neuvilly	59430	768	183
Nieppe	59431	6272	1683
Niergnies	59432	429	67
Nieurlet	59433	745	167
Nivelle	59434	1102	215
Nomain	59435	2120	456
Noordpeene	59436	625	119
Noyelles-lès-Seclin	59437	670	104
Noyelles-sur-Escaut	59438	602	84
Noyelles-sur-Sambre	59439	240	57
Noyelles-sur-Selle	59440	496	94
Obies	59441	534	116
Obrechies	59442	245	35
Ochtezeele	59443	270	41
Odomez	59444	606	145
Ohain	59445	918	268
Oisy	59446	469	84
Onnaing	59447	6177	2062
Oost-Cappel	59448	349	62
Orchies	59449	6858	1841
Ors	59450	477	83
Orsinval	59451	455	63
Ostricourt	59452	4016	1301
Oudezeele	59453	538	92
Oxelaëre	59454	383	63
Paillencourt	59455	792	151
Pecquencourt	59456	4459	1351
Petit-Fayt	59461	234	32
Petite-Forêt	59459	3785	934
Phalempin	59462	3841	775
Pitgam	59463	742	141
Poix-du-Nord	59464	1587	407
Pommereuil	59465	542	123
Pont-sur-Sambre	59467	1801	489
Pont-à-Marcq	59466	2274	473
Potelle	59468	363	71
Pradelles	59469	326	36
Preux-au-Bois	59472	655	151
Preux-au-Sart	59473	239	68
Prisches	59474	820	204
Prouvy	59475	1711	395
Proville	59476	2704	620
Provin	59477	3236	717
Prémesques	59470	1581	250
Préseau	59471	1645	365
Pérenchies	59457	6339	1766
Péronne-en-Mélantois	59458	736	92
Quarouble	59479	2469	760
Quaëdypre	59478	943	204
Quesnoy-sur-Deûle	59482	5250	1235
Quiévelon	59483	114	25
