code	city	border	adjacent
59286	Haubourdin	0	0
59287	Haucourt-en-Cambrésis	0	0
59288	Haulchin	0	0
59289	Haussy	0	0
59290	Haut-Lieu	0	0
59291	Hautmont	0	0
59292	Haveluy	0	0
59293	Haverskerque	0	0
59294	Haynecourt	0	0
59295	Hazebrouck	0	0
59296	Hecq	0	0
59297	Hélesmes	0	0
59299	Hem	0	1
59300	Hem-Lenglet	0	0
59301	Hergnies	1	0
59302	Hérin	0	0
59303	Herlies	0	0
59304	Herrin	0	0
59305	Herzeele	0	1
59306	Hestrud	1	0
59307	Holque	0	0
59308	Hondeghem	0	0
59309	Hondschoote	1	0
59310	Hon-Hergies	1	0
59311	Honnechy	0	0
59312	Honnecourt-sur-Escaut	0	0
59313	Hordain	0	0
59314	Hornaing	0	0
59315	Houdain-lez-Bavay	1	0
59316	Houplin-Ancoisne	0	0
59317	Houplines	1	0
59318	Houtkerque	1	0
59319	Hoymille	0	0
59320	Illies	0	0
59321	Inchy	0	0
59322	Iwuy	0	0
59323	Jenlain	0	1
59324	Jeumont	1	0
59325	Jolimetz	0	0
59326	Killem	0	1
59327	Lallaing	0	0
59328	Lambersart	0	0
59329	Lambres-lez-Douai	0	0
59330	Landas	0	1
59331	Landrecies	0	0
59332	Lannoy	0	0
59333	Larouillies	0	0
59334	Lauwin-Planque	0	0
59335	Lecelles	1	0
59336	Lécluse	0	0
59337	Lederzeele	0	0
59338	Ledringhem	0	0
59339	Leers	1	0
59340	Leffrinckoucke	0	1
59341	Lesdain	0	0
59342	Lez-Fontaine	0	0
59343	Lesquin	0	0
59344	Leval	0	0
59345	Lewarde	0	0
59346	Lezennes	0	0
59347	Liessies	0	0
59348	Lieu-Saint-Amand	0	0
59349	Ligny-en-Cambrésis	0	0
59350	Lille	0	0
59351	Limont-Fontaine	0	0
59352	Linselles	0	1
59353	Locquignol	0	1
59354	Loffre	0	0
59356	Lompret	0	0
59357	La Longueville	1	0
59358	Looberghe	0	0
59359	Loon-Plage	0	0
59360	Loos	0	0
59361	Lourches	0	0
59363	Louvignies-Quesnoy	0	0
59364	Louvil	0	0
59365	Louvroil	0	0
59366	Lynde	0	0
59367	Lys-lez-Lannoy	0	1
59368	La Madeleine	0	0
59369	Maing	0	0
59370	Mairieux	0	1
59371	Le Maisnil	0	0
59372	Malincourt	0	0
59374	Marbaix	0	0
59375	Marchiennes	0	0
59377	Marcoing	0	0
59378	Marcq-en-Barœul	0	0
59379	Marcq-en-Ostrevent	0	0
59381	Maresches	0	0
59382	Maretz	0	0
59383	Marly	0	0
59384	Maroilles	0	0
59385	Marpent	1	0
59386	Marquette-lez-Lille	0	0
59387	Marquette-en-Ostrevant	0	0
59388	Marquillies	0	0
59389	Masnières	0	0
59390	Masny	0	0
59391	Mastaing	0	0
59392	Maubeuge	0	1
59393	Maulde	1	0
59394	Maurois	0	0
59395	Mazinghien	0	0
59396	Mecquignies	0	0
59397	Merckeghem	0	0
59398	Mérignies	0	0
59399	Merris	0	1
59400	Merville	0	0
59401	Méteren	0	1
59402	Millam	0	0
59403	Millonfosse	0	0
59405	Mœuvres	0	0
59406	Monceau-Saint-Waast	0	0
59407	Monchaux-sur-Écaillon	0	0
59408	Moncheaux	0	0
59409	Monchecourt	0	0
59410	Mons-en-Barœul	0	0
59411	Mons-en-Pévèle	0	0
59412	Montay	0	0
59413	Montigny-en-Cambrésis	0	0
59414	Montigny-en-Ostrevent	0	0
59415	Montrécourt	0	0
59416	Morbecque	0	0
59418	Mortagne-du-Nord	1	0
59419	Mouchin	1	0
59420	Moustier-en-Fagne	1	0
59421	Mouvaux	0	1
59422	Naves	0	0
59423	Neuf-Berquin	0	0
59424	Neuf-Mesnil	0	0
59425	Neuville-en-Avesnois	0	0
59426	Neuville-en-Ferrain	1	0
59427	La Neuville	0	0
59428	Neuville-Saint-Rémy	0	0
59429	Neuville-sur-Escaut	0	0
59430	Neuvilly	0	0
59431	Nieppe	1	0
59432	Niergnies	0	0
59433	Nieurlet	0	0
59434	Nivelle	0	1
59435	Nomain	0	1
59436	Noordpeene	0	0
59437	Noyelles-lès-Seclin	0	0
59438	Noyelles-sur-Escaut	0	0
59439	Noyelles-sur-Sambre	0	0
59440	Noyelles-sur-Selle	0	0
59441	Obies	0	0
59442	Obrechies	0	0
59443	Ochtezeele	0	0
59444	Odomez	0	1
59445	Ohain	1	0
59446	Oisy	0	0
59447	Onnaing	0	1
59448	Oost-Cappel	1	0
59449	Orchies	0	0
59450	Ors	0	0
59451	Orsinval	0	0
59452	Ostricourt	0	0
59453	Oudezeele	0	1
59454	Oxelaëre	0	0
59455	Paillencourt	0	0
59456	Pecquencourt	0	0
59457	Pérenchies	0	1
59458	Péronne-en-Mélantois	0	0
59459	Petite-Forêt	0	0
59461	Petit-Fayt	0	0
59462	Phalempin	0	0
59463	Pitgam	0	0
59464	Poix-du-Nord	0	0
59465	Pommereuil	0	0
59466	Pont-à-Marcq	0	0
59467	Pont-sur-Sambre	0	0
59468	Potelle	0	0
59469	Pradelles	0	0
59470	Prémesques	0	1
59471	Préseau	0	0
59472	Preux-au-Bois	0	0
59473	Preux-au-Sart	0	1
59474	Prisches	0	0
59475	Prouvy	0	0
59476	Proville	0	0
59477	Provin	0	0
59478	Quaëdypre	0	0
59479	Quarouble	0	1
59480	Quérénaing	0	0
59481	Le Quesnoy	0	0
59482	Quesnoy-sur-Deûle	0	1
59483	Quiévelon	0	1
59484	Quiévrechain	1	0
59485	Quiévy	0	0
59486	Râches	0	0
59487	Radinghem-en-Weppes	0	0
59488	Raillencourt-Sainte-Olle	0	0
59489	Raimbeaucourt	0	0
59490	Rainsars	0	0
59491	Raismes	0	0
59492	Ramillies	0	0
59493	Ramousies	0	0
59494	Raucourt-au-Bois	0	0
59495	Recquignies	0	1
59496	Rejet-de-Beaulieu	0	0
59497	Renescure	0	0
59498	Reumont	0	0
59499	Rexpoëde	0	1
59500	Ribécourt-la-Tour	0	0
59501	Rieulay	0	0
59502	Rieux-en-Cambrésis	0	0
59503	Robersart	0	0
59504	Rœulx	0	0
59505	Rombies-et-Marchipont	1	0
59506	Romeries	0	0
59507	Ronchin	0	0
59508	Roncq	0	1
59509	Roost-Warendin	0	0
59511	Rosult	0	1
59512	Roubaix	0	1
59513	Roucourt	0	0
59514	Rousies	0	0
59515	Rouvignies	0	0
59516	Rubrouck	0	0
59517	Les Rues-des-Vignes	0	0
59518	Ruesnes	0	0
59519	Rumegies	1	0
59520	Rumilly-en-Cambrésis	0	0
59521	Sailly-lez-Cambrai	0	0
59522	Sailly-lez-Lannoy	1	0
59523	Sainghin-en-Mélantois	0	0
59524	Sainghin-en-Weppes	0	0
59525	Sains-du-Nord	0	0
59526	Saint-Amand-les-Eaux	0	1
59527	Saint-André-lez-Lille	0	0
59528	Saint-Aubert	0	0
59529	Saint-Aubin	0	0
59530	Saint-Aybert	1	0
59531	Saint-Benin	0	0
59532	Saint-Georges-sur-l'Aa	0	0
59533	Saint-Hilaire-lez-Cambrai	0	0
59534	Saint-Hilaire-sur-Helpe	0	0
59535	Saint-Jans-Cappel	1	0
59536	Sainte-Marie-Cappel	0	0
59537	Saint-Martin-sur-Écaillon	0	0
59538	Saint-Momelin	0	0
59539	Saint-Pierre-Brouck	0	0
59541	Saint-Python	0	0
59542	Saint-Remy-Chaussée	0	0
59543	Saint-Remy-du-Nord	0	0
59544	Saint-Saulve	0	0
59545	Saint-Souplet	0	0
59546	Saint-Sylvestre-Cappel	0	0
59547	Saint-Vaast-en-Cambrésis	0	0
59548	Saint-Waast	0	1
59549	Salesches	0	0
59550	Salomé	0	0
59551	Saméon	0	1
59552	Sancourt	0	0
59553	Santes	0	0
59554	Sars-et-Rosières	0	0
59555	Sars-Poteries	0	0
59556	Sassegnies	0	0
59557	Saultain	0	0
59558	Saulzoir	0	0
59559	Sebourg	1	0
59560	Seclin	0	0
59562	Sémeries	0	0
59563	Semousies	0	0
59564	La Sentinelle	0	0
59565	Sepmeries	0	0
59566	Sequedin	0	0
59567	Séranvillers-Forenville	0	0
59568	Sercus	0	0
59569	Sin-le-Noble	0	0
59570	Socx	0	0
59571	Solesmes	0	0
59572	Solre-le-Château	0	1
59573	Solrinnes	0	0
59574	Somain	0	0
59575	Sommaing	0	0
59576	Spycker	0	0
59577	Staple	0	0
59578	Steenbecque	0	0
59579	Steene	0	0
59580	Steenvoorde	1	0
59581	Steenwerck	0	1
59582	Strazeele	0	0
59583	Taisnières-en-Thiérache	0	0
59584	Taisnières-sur-Hon	1	0
59585	Templemars	0	0
59586	Templeuve-en-Pévèle	0	0
59587	Terdeghem	0	1
59588	Téteghem-Coudekerque-Village	0	0
59589	Thiant	0	0
59590	Thiennes	0	0
59591	Thivencelle	0	1
59592	Thumeries	0	0
59593	Thun-l'Évêque	0	0
59594	Thun-Saint-Amand	0	1
59595	Thun-Saint-Martin	0	0
59596	Tilloy-lez-Marchiennes	0	0
59597	Tilloy-lez-Cambrai	0	0
59598	Toufflers	1	0
59599	Tourcoing	1	0
59600	Tourmignies	0	0
59601	Trélon	0	1
59602	Tressin	0	1
59603	Trith-Saint-Léger	0	0
59604	Troisvilles	0	0
59605	Uxem	0	1
59606	Valenciennes	0	0
59607	Vendegies-au-Bois	0	0
59608	Vendegies-sur-Écaillon	0	0
59609	Vendeville	0	0
59610	Verchain-Maugré	0	0
59611	Verlinghem	0	1
59612	Vertain	0	0
59613	Vicq	0	0
59614	Viesly	0	0
59615	Vieux-Berquin	0	1
59616	Vieux-Condé	1	0
59617	Vieux-Mesnil	0	1
59618	Vieux-Reng	1	0
59619	Villereau	0	0
59620	Villers-au-Tertre	0	0
59622	Villers-en-Cauchies	0	0
59623	Villers-Guislain	0	0
59624	Villers-Outréaux	0	0
59625	Villers-Plouich	0	0
59626	Villers-Pol	0	0
59627	Villers-Sire-Nicole	1	0
59628	Volckerinckhove	0	0
59629	Vred	0	0
59630	Wahagnies	0	0
59631	Walincourt-Selvigny	0	0
59632	Wallers	0	0
59633	Wallers-en-Fagne	1	0
59634	Wallon-Cappel	0	0
59635	Wambaix	0	0
59636	Wambrechies	0	0
59637	Wandignies-Hamage	0	0
59638	Wannehain	1	0
59639	Wargnies-le-Grand	0	1
59640	Wargnies-le-Petit	1	0
59641	Warhem	0	1
59642	Warlaing	0	0
59643	Warneton	1	0
59645	Wasnes-au-Bac	0	0
59646	Wasquehal	0	1
59647	Watten	0	0
59648	Wattignies	0	0
59649	Wattignies-la-Victoire	0	0
59650	Wattrelos	1	0
59651	Wavrechain-sous-Denain	0	0
59652	Wavrechain-sous-Faulx	0	0
59653	Wavrin	0	0
59654	Waziers	0	0
59655	Wemaers-Cappel	0	0
59656	Wervicq-Sud	1	0
59657	West-Cappel	0	1
59658	Wicres	0	0
59659	Wignehies	0	0
59660	Willems	1	0
59661	Willies	0	1
59662	Winnezeele	1	0
59663	Wormhout	0	1
59664	Wulverdinghe	0	0
59665	Wylder	0	0
59666	Zegerscappel	0	0
59667	Zermezeele	0	0
59668	Zuydcoote	0	1
59669	Zuytpeene	0	0
59670	Don	0	0
