code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59423	1403	51.23	23.81	8.39	13.45
59424	1305	52.72	25.41	7.24	16.03
59425	302	52.05	25.79	8.3	8.26
59426	10160	51.06	26.04	11.19	13.09
59427	620	53.42	37.86	10.5	18.02
59428	3912	53.08	30.25	6.92	14.03
59429	2757	51.72	25.01	6.1	12.67
59430	1093	50.57	24.21	6.43	13.33
59431	7606	51.19	26.41	10	13.14
59432	512	52.49	37.2	10.37	12.74
59433	903	49.89	25.54	8.34	14.19
59434	1379	49.88	25.36	9.73	14.03
59435	2585	49.94	26.77	11.91	11.39
59436	800	49.94	24.98	9.45	11.51
59437	845	53.15	33.98	11.07	10.73
59438	814	49.04	25.79	10.55	16.53
59439	278	50.75	34.06	8.84	8.95
59440	673	52.61	29.08	9.06	10.59
59441	649	51	23.68	11.7	15.38
59442	273	50.74	31.36	11.49	12.96
59443	375	49.26	21.29	8.9	15.8
59444	927	50.44	21.05	6.87	9.8
59445	1188	51.49	28.28	9.7	17.18
59446	690	50	23.26	10.81	14.65
59447	8719	52.29	23.09	6.11	12.68
59448	472	51.03	25.29	6.71	15.62
59449	8455	53.08	23.79	8.49	15.66
59450	638	49.86	26.38	7.68	15.67
59451	558	51.61	29.53	11.97	8.92
59452	5829	51.67	21.51	7.58	14.38
59453	684	49.29	19.47	10.71	14.13
59454	528	52.6	23.43	9.63	3.78
59455	1015	50.38	22.35	10.67	14.08
59456	6232	51.48	23.53	5.23	15.54
59457	8519	52.35	22.21	9.83	12.83
59458	1004	50.49	21.79	12	6.51
59459	5058	51.48	25.1	8.74	16.16
59461	294	48.9	29.47	8.75	5.33
59462	4849	51.97	28.76	11.66	11.73
59463	976	50.36	18.88	10.48	11.31
59464	2185	51.5	22.64	7.63	12.26
59465	792	49.82	22.02	7.55	15.07
59466	2883	52.2	23.32	11.59	13.41
59467	2410	52.48	25.31	8.08	13.81
59468	441	51.24	31.33	10.73	5.73
59469	410	49.08	15.26	16.53	7.48
59470	2060	50.51	24.56	12.42	8.35
59471	2065	51.43	26.48	10.23	9.28
59472	838	50.22	28.35	7.08	16.83
59473	304	49.72	23.08	10.63	13.43
59474	1043	50.87	27.78	5.41	12.55
59475	2173	50.13	23.47	8.02	10.92
59476	3128	53.05	35.52	9.84	13.88
59477	4469	51.86	20.49	8.58	15.86
59478	1121	49.23	24.04	11.36	11.03
59479	3131	52.48	27.16	8.56	13.18
59480	861	50.69	28.77	12.4	8.81
59481	4852	54.36	31.55	7.19	14.89
59482	6920	51.72	23.68	10.68	11.94
59483	137	51.47	30.15	7.35	11.03
59484	6208	51.42	22.03	5.01	10.45
59485	1801	50.72	24.27	7.49	12.79
59486	2660	50.46	26.63	9.11	13.6
59487	1393	50.87	28.77	12.61	6.8
59488	2128	52.1	35.52	9.3	13.92
59489	4015	51.98	32.83	8.28	12.6
59490	188	49.48	34.02	10.82	5.15
59491	12055	51.16	24.07	4.75	12.88
59492	596	50.24	25.68	8.08	15.48
59493	227	49.12	21.05	7.46	10.96
59494	154	47.44	26.92	12.18	12.82
59495	2420	51.72	22.22	7.57	11.87
59496	232	49.18	27.44	7.38	6.18
