code	pid	mun_r1	mun_r2
59013	5e8b8977e2943212f86eb50efb2bb084	0	NA
59013	11fc911a97da344e54f0f70d716e74e1	0	NA
59013	52c8fbc6f492015b8dcfdd841847a1d8	1	NA
59013	81587d1f35b4d0c193f35822a20d594c	1	NA
59013	0ef04d42e8dee31a043b333b72aea09f	1	NA
59013	38979ee84be719ee6af397ed3c2afc68	1	NA
59014	cfd8f11a88582bdd4594a53dec615880	0	NA
59014	2f564e6acdd51652dff6d45822ece1f0	1	NA
59014	6b1b2f4cb7d9f1a2bc28f1985e6373f6	0	NA
59014	d5f0e47f0e29306b962540472d949c4b	1	NA
59014	e089b5ae290290d828a9f504ddba6ccd	1	NA
59014	0338ac4ec540dedfe313740a02fae365	0	NA
59014	de20ca02a1b85975b4238893f4099fbb	0	NA
59014	5a8357eae9a30ec8b92c8f74f7feba28	0	NA
59014	5afa98b94cea748a0d0863b0eb759068	0	NA
59014	9fe363f288864fd08d8d31bcd974a96b	0	NA
59014	ca6782c5c21a4e55e372938f724f4bc2	0	NA
59014	157e814225642aac8cfebfb5c56c4bb8	0	NA
59014	55214e1afcff9c2b33fcefa2dcbf5126	0	NA
59014	4c5d83715230721d6df0aac22635f7d0	0	NA
59014	9005506105ccffec63eb98aaa8c44847	0	NA
59014	4f19361f4aae343a911201fea8498ec6	0	NA
59014	63646c075dd1b23e062e9274afc78dd8	0	NA
59014	1d0251979179e807103806897815df62	1	NA
59014	ccb8d73309a79eb6b8dc50da6b25a6fe	0	NA
59014	690f0cfa9e8ad32f7419230dab01f7d1	1	NA
59015	25333962d859a9503a84a75c878a0ac2	0	0
59015	07477c2231b39aa52447a071af388b47	4	4
59015	d223f0e43661e4bbd54e304395960fab	1	1
59015	3da2cdd01cab53004fb47682faab1176	0	0
59015	cf583b1d4fc5c9200232306c6dae2ed0	0	0
59015	dff65fa26bf78ff58fc05b7a40e18a35	4	4
59017	90066261ebefd455ead976fe9c09cd12	0	0
59017	8101055a731b558e45382bbd2acda3a3	0	0
59017	73725514ce71d3aa242b2bf863e68e71	1	1
59017	7531be19c0b5f4e642df760cae58fa67	0	0
59017	577f7993385ea86a9a1d991c8c67fb5e	0	0
59017	6cb3f2e4847f363093382ef249770282	1	0
59017	eecbf348d4d3677f5b8dd7320e5625a5	0	0
59017	fc2aec969e6ed96224af694f37e47ac6	0	1
59017	9385eeb7aec5f9cc4e742f9e82b368f6	0	1
59017	17b4e0e0dc3abcff89dd681b9a5b8462	1	4
59017	3fa34aa4380ae520a83f786339344461	0	0
59017	874ccaa92528fe4969a5a9df0e104487	0	0
59017	05eb9cced087c80a844fb0750bd6ce17	0	0
59017	889c255cf2922f2187cdff60acf7ebea	1	1
59017	fd6dee2db46ff4acee18e0751abc6476	0	0
59017	a178a3ae81c399b9623edcbe42e12087	1	1
59017	4ef219c64960802b2a5ae9fd6e1689dc	0	4
59017	f402bb3ad7f3d5995add16a9bd73e42e	1	1
59017	0443e4319cc9b567650d8123d2f37926	0	0
59017	1581471109a5e3f80be4b7d5f7ef3702	0	0
59017	5d45c4e66f2341da9c34e98b71ad2451	0	0
59017	1d662b2fba98f1c54f63b1b2f86c9a72	1	1
59017	a55dd51096c7c1fde45d535812496693	0	0
59017	c478297afe80473b663336542d82f6e7	0	0
