code	city	n_ins	n_nat	n_eur	n_hu	n_nl	n_it	n_be	n_pt	n_bg	n_cz	n_de	n_dk	n_es	n_fi	n_gr	n_ie	n_pl	n_ro	n_se	n_sk	n_at	n_lu	n_lt	n_cy	n_lv	n_si	n_hr	n_ee
59542	Saint-Remy-Chaussée	375	374	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59543	Saint-Remy-du-Nord	828	824	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59544	Saint-Saulve	8423	8292	131	0	2	22	78	14	0	0	6	0	5	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
59545	Saint-Souplet	961	957	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59546	Saint-Sylvestre-Cappel	944	941	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
59547	Saint-Vaast-en-Cambrésis	637	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59548	Saint-Waast	548	514	34	0	0	0	32	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59549	Salesches	268	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59550	Salomé	2388	2387	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59551	Saméon	1335	1330	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59552	Sancourt	152	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59553	Santes	4780	4748	32	0	2	12	12	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
59554	Sars-et-Rosières	473	471	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59555	Sars-Poteries	978	971	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59556	Sassegnies	214	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59557	Saultain	1777	1749	28	0	2	8	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59558	Saulzoir	1378	1374	4	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59559	Sebourg	1630	1607	23	0	1	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59560	Seclin	8952	8923	29	0	0	6	7	5	0	0	0	0	6	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0
59562	Sémeries	427	414	13	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59563	Semousies	202	199	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59564	La Sentinelle	2135	2123	12	0	0	5	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59565	Sepmeries	523	517	6	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59566	Sequedin	3199	3182	17	0	0	6	5	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0
59567	Séranvillers-Forenville	318	317	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59568	Sercus	352	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59569	Sin-le-Noble	10895	10833	62	0	0	29	24	2	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59570	Socx	796	788	8	0	0	0	2	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59571	Solesmes	3214	3208	6	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59572	Solre-le-Château	1371	1298	73	0	2	0	69	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59573	Solrinnes	121	93	28	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59574	Somain	8899	8855	44	0	2	19	10	5	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59575	Sommaing	355	353	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59576	Spycker	1418	1416	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59577	Staple	541	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59578	Steenbecque	1313	1311	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59579	Steene	1096	1094	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59580	Steenvoorde	3309	3279	30	0	0	0	24	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
59581	Steenwerck	2850	2839	11	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59582	Strazeele	648	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59583	Taisnières-en-Thiérache	368	364	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59584	Taisnières-sur-Hon	762	597	165	0	2	4	157	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59585	Templemars	2839	2823	16	0	0	2	2	6	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
59586	Templeuve-en-Pévèle	5604	5565	39	0	3	10	13	9	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59587	Terdeghem	428	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59588	Téteghem-Coudekerque-Village	7260	7241	19	0	0	3	10	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
59589	Thiant	2173	2165	8	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
59590	Thiennes	644	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59591	Thivencelle	582	569	13	0	0	2	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59592	Thumeries	3302	3290	12	2	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59593	Thun-l'Évêque	611	607	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59594	Thun-Saint-Amand	854	843	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59595	Thun-Saint-Martin	423	415	8	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59596	Tilloy-lez-Marchiennes	501	497	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59597	Tilloy-lez-Cambrai	569	561	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
59598	Toufflers	3515	3469	46	0	0	9	15	20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59599	Tourcoing	66614	64038	2576	2	38	387	798	1057	4	0	32	2	165	2	5	0	12	59	5	0	2	2	0	0	4	0	0	0
59600	Tourmignies	711	707	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59601	Trélon	1906	1864	42	0	0	0	40	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59602	Tressin	1130	1123	7	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
59603	Trith-Saint-Léger	5058	5000	58	0	0	20	32	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59604	Troisvilles	591	585	6	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59605	Uxem	1129	1117	12	0	2	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59606	Valenciennes	25054	24809	245	4	9	55	114	24	0	0	4	0	10	2	2	2	3	14	0	0	0	0	2	0	0	0	0	0
59607	Vendegies-au-Bois	380	378	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59608	Vendegies-sur-Écaillon	834	829	5	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59609	Vendeville	1421	1411	10	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59610	Verchain-Maugré	796	792	4	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
