code	city	pop21
59186	Eccles	90
59187	Éclaibes	270
59188	Écuélin	145
59189	Eecke	1248
59190	Élesmes	1006
59191	Élincourt	635
59192	Émerchicourt	868
59193	Emmerin	3077
59194	Englefontaine	1302
59195	Englos	623
59196	Ennetières-en-Weppes	1315
59197	Ennevelin	2385
59198	Eppe-Sauvage	234
59199	Erchin	692
59200	Eringhem	490
59201	Erquinghem-le-Sec	614
59202	Erquinghem-Lys	5402
59203	Erre	1582
59204	Escarmain	488
59205	Escaudain	9299
59206	Escaudœuvres	3233
59207	Escautpont	4181
59208	Escobecques	312
59209	Esnes	681
59210	Esquelbecq	2186
59211	Esquerchin	921
59212	Estaires	6619
59213	Estourmel	471
59214	Estrées	1140
59215	Estreux	985
59216	Eswars	362
59217	Eth	345
59218	Étrœungt	1288
59219	Estrun	727
59220	Faches-Thumesnil	18227
59221	Famars	2543
59222	Faumont	2297
59223	Le Favril	506
59224	Féchain	1671
59225	Feignies	6820
59226	Felleries	1469
59227	Fenain	5577
59228	Férin	1469
59229	Féron	546
59230	Ferrière-la-Grande	5254
59231	Ferrière-la-Petite	1066
59232	La Flamengrie	443
59233	Flaumont-Waudrechies	354
59234	Flers-en-Escrebieux	5681
59236	Flesquières	267
59237	Flêtre	984
59238	Flines-lès-Mortagne	1666
59239	Flines-lez-Raches	5701
59240	Floursies	130
59241	Floyon	526
59242	Fontaine-au-Bois	702
59243	Fontaine-au-Pire	1225
59244	Fontaine-Notre-Dame	1794
59246	Forest-en-Cambrésis	573
59247	Forest-sur-Marque	1682
59249	Fourmies	11632
59250	Fournes-en-Weppes	2297
59251	Frasnoy	383
59252	Frelinghien	2604
59253	Fresnes-sur-Escaut	7527
59254	Fressain	905
59255	Fressies	577
59256	Fretin	3261
59257	Fromelles	1090
59258	Genech	3465
59259	Ghissignies	518
59260	Ghyvelde	4180
59261	Glageon	1769
59262	Godewaersvelde	2081
59263	Gœulzin	1068
59264	Gognies-Chaussée	738
59265	Gommegnies	2337
59266	Gondecourt	4098
59267	Gonnelieu	296
59268	La Gorgue	5651
59269	Gouzeaucourt	1479
59270	Grand-Fayt	482
59271	Grande-Synthe	20528
59272	Grand-Fort-Philippe	5026
59273	Gravelines	11393
59274	La Groise	479
59275	Gruson	1272
59276	Guesnain	4684
59277	Gussignies	350
59278	Hallennes-lez-Haubourdin	4756
59279	Halluin	20964
59280	Hamel	783
59281	Hantay	1271
59282	Hardifort	404
59283	Hargnies	636
59284	Hasnon	3912
59285	Haspres	2660
59286	Haubourdin	14864
59287	Haucourt-en-Cambrésis	195
59288	Haulchin	2346
59289	Haussy	1540
59290	Haut-Lieu	387
59291	Hautmont	14256
59292	Haveluy	3262
59293	Haverskerque	1419
59294	Haynecourt	314
59295	Hazebrouck	21899
59296	Hecq	361
59297	Hélesmes	1940
59299	Hem	18869
59300	Hem-Lenglet	558
59301	Hergnies	4496
59302	Hérin	4157
59303	Herlies	2352
59304	Herrin	431
59305	Herzeele	1669
59306	Hestrud	299
59307	Holque	873
59308	Hondeghem	936
59309	Hondschoote	4107
59310	Hon-Hergies	876
59311	Honnechy	582
59312	Honnecourt-sur-Escaut	751
59313	Hordain	1456
59314	Hornaing	3568
59315	Houdain-lez-Bavay	913
59316	Houplin-Ancoisne	3324
59317	Houplines	7990
59318	Houtkerque	994
59319	Hoymille	3375
59320	Illies	1680
59321	Inchy	639
59322	Iwuy	3374
59323	Jenlain	1185
59324	Jeumont	10433
59325	Jolimetz	872
59326	Killem	1202
59327	Lallaing	6286
59328	Lambersart	27563
59329	Lambres-lez-Douai	5011
59330	Landas	2488
59331	Landrecies	3518
59332	Lannoy	1808
59333	Larouillies	258
59334	Lauwin-Planque	1604
59335	Lecelles	3065
59336	Lécluse	1376
59337	Lederzeele	712
59338	Ledringhem	648
59339	Leers	9668
59340	Leffrinckoucke	4221
59341	Lesdain	448
59342	Lez-Fontaine	233
59343	Lesquin	9328
59344	Leval	2503
59345	Lewarde	2428
59346	Lezennes	3038
59347	Liessies	547
59348	Lieu-Saint-Amand	1476
59349	Ligny-en-Cambrésis	1921
59350	Lille	238542
59351	Limont-Fontaine	546
59352	Linselles	8282
59353	Locquignol	305
59354	Loffre	727
59356	Lompret	2227
59357	La Longueville	2092
59358	Looberghe	1219
59359	Loon-Plage	6108
59360	Loos	23271
59361	Lourches	3837
59363	Louvignies-Quesnoy	929
59364	Louvil	907
59365	Louvroil	6397
59366	Lynde	793
59367	Lys-lez-Lannoy	13929
59368	La Madeleine	22665
59369	Maing	4054
59370	Mairieux	710
