code	natl	pop24	dens24	pop20	dens20
59410	ROU	21.75	0.1007	25.95	0.1249
59411	BEL	4	0.1881	NA	NA
59411	DEU	NA	NA	NA	NA
59411	ESP	NA	NA	NA	NA
59411	NLD	NA	NA	NA	NA
59411	PRT	5	0.2351	NA	NA
59411	ROU	NA	NA	NA	NA
59413	ESP	NA	NA	NA	NA
59414	BEL	NA	NA	NA	NA
59414	ESP	NA	NA	NA	NA
59414	ITA	47.86	1.0108	NA	NA
59414	NLD	NA	NA	NA	NA
59414	POL	10.17	0.2148	NA	NA
59416	BEL	5.02	0.1968	NA	NA
59416	ITA	NA	NA	NA	NA
59418	BEL	53.7	3.3752	NA	NA
59418	ITA	NA	NA	NA	NA
59418	POL	NA	NA	NA	NA
59418	PRT	5.93	0.3727	NA	NA
59419	BEL	18.35	1.2551	NA	NA
59419	ITA	NA	NA	NA	NA
59419	POL	NA	NA	NA	NA
59419	PRT	NA	NA	NA	NA
59420	BEL	18	29.0323	NA	NA
59421	BEL	34.52	0.2583	30.84	0.2345
59421	DEU	NA	NA	7.31	0.0556
59421	ESP	NA	NA	8.28	0.063
59421	ITA	28.2	0.211	34.3	0.2608
59421	POL	15.45	0.1156	NA	NA
59421	PRT	49.08	0.3673	67.35	0.5121
59422	BEL	5	0.7837	NA	NA
59423	BEL	NA	NA	NA	NA
59423	ESP	NA	NA	NA	NA
59423	NLD	NA	NA	NA	NA
59423	PRT	NA	NA	NA	NA
59424	BEL	NA	NA	NA	NA
59424	ITA	NA	NA	NA	NA
59424	PRT	4.1	0.3127	NA	NA
59425	BEL	NA	NA	NA	NA
59425	PRT	NA	NA	NA	NA
59426	BEL	58.51	0.5721	73.51	0.7148
59426	ESP	NA	NA	2	0.0194
59426	ITA	34.93	0.3415	31.59	0.3072
59426	POL	NA	NA	2	0.0194
59426	PRT	53.88	0.5268	61.31	0.5962
59427	BEL	NA	NA	NA	NA
59428	BEL	NA	NA	NA	NA
59428	ESP	NA	NA	NA	NA
59428	ITA	NA	NA	NA	NA
59428	POL	NA	NA	NA	NA
59428	PRT	29.21	0.7393	NA	NA
59428	ROU	NA	NA	NA	NA
59429	BEL	NA	NA	NA	NA
59429	ESP	NA	NA	NA	NA
59429	ITA	8.04	0.2901	NA	NA
59429	POL	NA	NA	NA	NA
59429	PRT	NA	NA	NA	NA
59430	DEU	NA	NA	NA	NA
59430	PRT	NA	NA	NA	NA
59431	BEL	38.83	0.5052	40.91	0.5472
59431	DEU	NA	NA	NA	NA
59431	ESP	NA	NA	NA	NA
59431	ITA	NA	NA	3.06	0.0409
59431	PRT	29.59	0.385	30.48	0.4077
59432	ESP	NA	NA	NA	NA
59432	PRT	NA	NA	NA	NA
59434	BEL	19.29	1.3808	NA	NA
59434	ITA	NA	NA	NA	NA
59434	NLD	NA	NA	NA	NA
59434	POL	NA	NA	NA	NA
59435	BEL	16.2	0.6181	NA	NA
59435	POL	4.02	0.1534	NA	NA
59435	PRT	NA	NA	NA	NA
59435	ROU	NA	NA	NA	NA
59436	BEL	NA	NA	NA	NA
59436	DEU	NA	NA	NA	NA
59436	POL	NA	NA	NA	NA
59436	PRT	NA	NA	NA	NA
59437	DEU	NA	NA	NA	NA
59438	ESP	NA	NA	NA	NA
59438	ITA	NA	NA	NA	NA
59439	BEL	NA	NA	NA	NA
59439	ITA	NA	NA	NA	NA
59439	PRT	NA	NA	NA	NA
59440	BEL	NA	NA	NA	NA
59440	ESP	NA	NA	NA	NA
59440	PRT	NA	NA	NA	NA
59440	ROU	NA	NA	NA	NA
59441	BEL	11.62	1.774	NA	NA
59441	NLD	NA	NA	NA	NA
59441	PRT	NA	NA	NA	NA
59442	BEL	4	1.4337	NA	NA
59442	ITA	NA	NA	NA	NA
59443	POL	NA	NA	NA	NA
59444	BEL	6	0.641	NA	NA
59445	BEL	66.15	5.4851	NA	NA
59445	DEU	NA	NA	NA	NA
59445	ESP	NA	NA	NA	NA
59446	BEL	4.16	0.596	NA	NA
59446	ITA	NA	NA	NA	NA
59446	PRT	NA	NA	NA	NA
59446	ROU	NA	NA	NA	NA
59447	BEL	43.91	0.4998	43.01	0.4889
59447	ESP	NA	NA	3	0.0341
59447	ITA	16.06	0.1828	20.07	0.2282
59447	POL	7.88	0.0897	NA	NA
59447	PRT	25.67	0.2922	NA	NA
59447	ROU	NA	NA	NA	NA
59448	BEL	4	0.8386	NA	NA
59449	BEL	36	0.4188	37.47	0.4244
59449	DEU	NA	NA	2	0.0227
59449	ESP	NA	NA	2	0.0227
59449	ITA	12	0.1396	12.15	0.1376
59449	PRT	NA	NA	3.04	0.0344
59449	ROU	NA	NA	NA	NA
59450	BEL	NA	NA	NA	NA
59451	BEL	6.94	1.2218	NA	NA
59451	ESP	NA	NA	NA	NA
59451	ITA	NA	NA	NA	NA
59451	NLD	NA	NA	NA	NA
59452	BEL	NA	NA	NA	NA
59452	ESP	NA	NA	NA	NA
59452	ITA	3.82	0.0652	NA	NA
59452	NLD	NA	NA	NA	NA
59452	POL	5.8	0.099	NA	NA
59452	PRT	6.7	0.1144	4.1	0.0762
59452	ROU	NA	NA	NA	NA
59453	BEL	NA	NA	NA	NA
59453	ROU	NA	NA	NA	NA
59454	DEU	NA	NA	NA	NA
59455	BEL	NA	NA	NA	NA
59455	PRT	5.11	0.4971	NA	NA
59456	BEL	7.22	0.1111	7.05	0.1173
59456	DEU	NA	NA	NA	NA
59456	ESP	NA	NA	3.03	0.0504
59456	ITA	19.01	0.2926	24.39	0.4058
59456	POL	6.31	0.0971	NA	NA
59456	PRT	NA	NA	2	0.0333
59457	BEL	10.28	0.1198	10.2	0.1211
59457	ESP	8.28	0.0965	8.2	0.0973
59457	ITA	26.04	0.3034	26.76	0.3176
59457	NLD	NA	NA	2	0.0237
59457	POL	NA	NA	NA	NA
59457	PRT	56.67	0.6603	59.29	0.7038
59458	BEL	5.36	0.5224	NA	NA
59458	ESP	NA	NA	NA	NA
59458	ITA	NA	NA	NA	NA
59458	NLD	NA	NA	NA	NA
59458	POL	NA	NA	NA	NA
59459	BEL	6.3	0.1236	NA	NA
59459	ESP	NA	NA	NA	NA
59459	ITA	17.73	0.3479	NA	NA
59459	PRT	NA	NA	NA	NA
59459	ROU	NA	NA	NA	NA
59461	NLD	NA	NA	NA	NA
59462	BEL	4.97	0.1014	NA	NA
59462	ESP	NA	NA	NA	NA
59462	ITA	7.95	0.1623	NA	NA
59462	POL	NA	NA	NA	NA
59462	PRT	7.99	0.1631	NA	NA
59462	ROU	6.03	0.1231	NA	NA
59463	BEL	NA	NA	NA	NA
59463	ITA	NA	NA	NA	NA
59463	PRT	NA	NA	NA	NA
59464	BEL	NA	NA	NA	NA
59464	ITA	NA	NA	NA	NA
59464	PRT	NA	NA	NA	NA
59464	ROU	NA	NA	NA	NA
59465	BEL	NA	NA	NA	NA
59466	BEL	8	0.2693	NA	NA
59466	ESP	NA	NA	NA	NA
59466	ITA	5	0.1683	NA	NA
59466	NLD	NA	NA	NA	NA
59466	POL	NA	NA	NA	NA
59466	PRT	NA	NA	NA	NA
59466	ROU	NA	NA	NA	NA
59467	BEL	10	0.4103	NA	NA
59467	DEU	NA	NA	NA	NA
59467	ITA	NA	NA	NA	NA
59467	NLD	NA	NA	NA	NA
59467	PRT	14	0.5745	NA	NA
59468	BEL	NA	NA	NA	NA
59469	PRT	NA	NA	NA	NA
59470	BEL	NA	NA	NA	NA
59470	ITA	NA	NA	NA	NA
59470	PRT	4.79	0.2291	NA	NA
59471	BEL	5.3	0.2541	NA	NA
59471	DEU	NA	NA	NA	NA
59471	ITA	4.23	0.2028	NA	NA
59471	PRT	NA	NA	NA	NA
59472	BEL	NA	NA	NA	NA
59473	BEL	8.63	2.7929	NA	NA
59474	BEL	8.04	0.7563	NA	NA
59475	BEL	NA	NA	NA	NA
59475	ITA	NA	NA	NA	NA
59475	PRT	NA	NA	NA	NA
59476	BEL	6.97	0.219	NA	NA
59476	ESP	NA	NA	NA	NA
59476	POL	NA	NA	NA	NA
59476	PRT	14.83	0.4661	NA	NA
59476	ROU	NA	NA	NA	NA
59477	BEL	NA	NA	NA	NA
59477	ITA	NA	NA	NA	NA
59477	POL	NA	NA	NA	NA
59477	PRT	7	0.1551	NA	NA
59477	ROU	NA	NA	NA	NA
59478	BEL	NA	NA	NA	NA
59478	POL	NA	NA	NA	NA
59479	BEL	35	1.1079	NA	NA
59479	DEU	NA	NA	NA	NA
59479	ITA	7	0.2216	NA	NA
59479	NLD	NA	NA	NA	NA
59479	POL	NA	NA	NA	NA
59479	PRT	6	0.1899	NA	NA
59480	BEL	7.46	0.8565	NA	NA
59480	ESP	NA	NA	NA	NA
59480	PRT	NA	NA	NA	NA
59480	ROU	NA	NA	NA	NA
59481	BEL	13.98	0.2813	NA	NA
59481	DEU	NA	NA	NA	NA
59481	ESP	NA	NA	NA	NA
59481	ITA	NA	NA	NA	NA
59481	PRT	4	0.0805	NA	NA
59481	ROU	NA	NA	NA	NA
59482	BEL	26.88	0.3852	27.73	0.4103
59482	BGR	NA	NA	NA	NA
59482	ESP	6.41	0.0918	6.29	0.0931
59482	ITA	10.66	0.1527	10.47	0.155
59482	PRT	9.37	0.1343	9.28	0.1373
59483	BEL	7.05	5.0719	NA	NA
59484	BEL	110.89	1.774	122.01	1.9166
59484	DEU	4.97	0.0795	4.98	0.0782
59484	ESP	8	0.128	10.01	0.1573
59484	ITA	30.07	0.481	30.06	0.4723
59484	POL	5.02	0.0803	NA	NA
59484	PRT	7.99	0.1278	8	0.1257
59484	ROU	NA	NA	NA	NA
59485	BEL	4.01	0.2202	NA	NA
59485	NLD	NA	NA	NA	NA
59485	POL	NA	NA	NA	NA
59486	BEL	6	0.2221	NA	NA
59486	DEU	NA	NA	NA	NA
59486	ESP	NA	NA	NA	NA
59486	PRT	NA	NA	NA	NA
59487	BEL	NA	NA	NA	NA
59487	PRT	NA	NA	NA	NA
59488	BEL	NA	NA	NA	NA
59488	ITA	NA	NA	NA	NA
59488	PRT	9	0.4153	NA	NA
59488	ROU	NA	NA	NA	NA
59489	BEL	NA	NA	NA	NA
59489	DEU	NA	NA	NA	NA
59489	ESP	NA	NA	NA	NA
59489	ITA	5	0.1229	NA	NA
59489	POL	5	0.1229	NA	NA
59489	PRT	NA	NA	NA	NA
59489	ROU	NA	NA	NA	NA
59490	BEL	4.72	2.4974	NA	NA
59490	PRT	NA	NA	NA	NA
59491	BEL	19.83	0.1638	32.38	0.2573
59491	BGR	NA	NA	NA	NA
59491	ESP	20.53	0.1696	20.56	0.1634
59491	ITA	43.81	0.3618	54.15	0.4302
59491	POL	NA	NA	NA	NA
59491	PRT	22.24	0.1837	30.46	0.242
59491	ROU	14.26	0.1178	NA	NA
59492	PRT	5.08	0.8425	NA	NA
59494	BEL	NA	NA	NA	NA
59495	BEL	33.58	1.3785	NA	NA
59495	ITA	NA	NA	NA	NA
59495	POL	NA	NA	NA	NA
59495	PRT	NA	NA	NA	NA
59496	BEL	NA	NA	NA	NA
59497	BEL	NA	NA	NA	NA
59497	PRT	NA	NA	NA	NA
59497	ROU	NA	NA	NA	NA
59499	BEL	14.92	0.7379	NA	NA
59499	PRT	NA	NA	NA	NA
59500	PRT	NA	NA	NA	NA
59501	BEL	NA	NA	NA	NA
59501	POL	NA	NA	NA	NA
59501	PRT	3.92	0.3091	NA	NA
59502	PRT	NA	NA	NA	NA
59504	BEL	NA	NA	NA	NA
59504	ESP	NA	NA	NA	NA
59504	ITA	13	0.3425	NA	NA
59504	POL	NA	NA	NA	NA
59505	BEL	16.13	2.1308	NA	NA
59505	ITA	NA	NA	NA	NA
59505	PRT	NA	NA	NA	NA
59506	BEL	NA	NA	NA	NA
59507	BEL	30.51	0.1559	37.5	0.1951
59507	DEU	NA	NA	15.04	0.0783
59507	ESP	11.27	0.0576	21.54	0.1121
59507	ITA	21.5	0.1098	27.39	0.1425
59507	NLD	NA	NA	2	0.0104
59507	POL	15.65	0.08	NA	NA
59507	PRT	12.43	0.0635	10.01	0.0521
59507	ROU	35.4	0.1809	79.61	0.4142
59508	BEL	75.72	0.5449	75.84	0.5665
59508	BGR	NA	NA	NA	NA
59508	ESP	23.05	0.1659	25.04	0.187
59508	ITA	35.12	0.2527	46.53	0.3475
59508	NLD	NA	NA	2	0.0149
59508	POL	NA	NA	NA	NA
59508	PRT	76.48	0.5503	80	0.5975
59508	ROU	NA	NA	NA	NA
59509	BEL	7	0.1161	7.06	0.1149
59509	ESP	NA	NA	NA	NA
59509	ITA	27	0.448	29.56	0.4814
59509	POL	6	0.0996	6.38	0.1039
59509	PRT	NA	NA	NA	NA
