code	natl	n0	n1	sex_m	sex_f	age_15	age_60	res_19	res_20	edu_lo	edu_hi	occ_else	occ_empl
59372	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59372	PRT	7.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	BEL	5.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59375	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59377	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59377	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59378	BEL	95.41	95.41	41.91	53.5	68.17	27.24	45.83	49.58	27.46	67.95	54.68	10.82
59378	BGR	9.94	9.94	NA	9.94	NA	NA	9.94	NA	NA	NA	NA	NA
59378	DEU	26.33	26.33	15.39	10.93	NA	NA	14.63	11.7	NA	NA	10.99	NA
59378	ESP	98.05	98.05	54.26	43.79	84.46	13.59	70.51	27.54	36.63	61.42	54.69	18.15
59378	ITA	61.5	61.5	26.1	35.4	45.74	15.76	43.04	18.46	26.54	34.96	31.78	NA
59378	NLD	10.99	10.99	NA	NA	NA	NA	NA	NA	NA	NA	10.99	NA
59378	Other EU	42.23	42.23	19.01	23.21	42.23	NA	NA	NA	NA	NA	31.44	NA
59378	POL	25.15	25.15	10.7	14.45	NA	NA	NA	NA	NA	NA	14.75	NA
59378	PRT	113.27	113.27	53.93	59.34	58.65	54.62	21.3	91.97	92.97	20.3	31.14	34.98
59378	ROU	27.2	27.2	9.61	17.59	27.2	NA	NA	NA	11.52	15.68	14.74	NA
59379	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59379	ROU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59381	BEL	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59381	ITA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59382	BEL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59382	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59382	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59382	PRT	21.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59383	BEL	17.16	17.16	9.86	7.3	7.9	9.26	5.16	12.01	NA	NA	6.26	NA
59383	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59383	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59383	ITA	39.18	39.18	NA	NA	NA	39.18	NA	39.18	39.18	NA	NA	NA
