code	natl	reg24
59291	ESP	13.32
59291	ITA	32.8
59291	PRT	8.73
59295	BEL	58.3
59299	BEL	52.52
59299	ITA	24
59299	PRT	24.67
59301	BEL	51.31
59306	BEL	48.62
59309	BEL	35.18
59310	BEL	37.23
59315	BEL	40.68
59317	BEL	45.43
59317	PRT	25.76
59324	BEL	37.92
59324	ITA	46.7
59327	ITA	43.14
59328	BEL	44.65
59328	DEU	26.39
59328	ESP	33.84
59328	ITA	22.77
59335	BEL	81.14
59339	BEL	48.04
59339	ITA	36.48
59339	PRT	19.28
59343	PRT	34.58
59347	BEL	34.59
59349	PRT	35.25
59350	BEL	24.54
59350	BGR	9.85
59350	DEU	40.67
59350	ESP	10.27
59350	ITA	14.22
59350	NLD	26.62
59350	POL	16.82
59350	PRT	17.58
59350	ROU	8.52
59352	BEL	31.41
59352	ESP	18.09
59357	BEL	25.88
59360	BEL	24.99
59360	ITA	15.06
59360	PRT	21.76
59365	BEL	85.66
59367	BEL	65.6
59367	ITA	19.61
59367	PRT	18.92
59368	BEL	30.85
59368	DEU	24.65
59368	ESP	22.36
59368	ITA	9.8
59368	PRT	6.81
59370	BEL	35.71
59378	BEL	55.55
59378	DEU	26.59
59378	ESP	16.32
59378	ITA	37.4
59378	POL	19.88
59378	PRT	18.54
59378	ROU	3.68
59382	PRT	22.88
59383	ITA	51.05
59383	PRT	19.9
59385	BEL	45.35
59386	PRT	5.74
59390	ITA	49.28
59392	BEL	53.57
59392	ESP	19.41
59392	ITA	30.67
59392	PRT	71.75
59393	BEL	30.36
59396	BEL	19.56
59410	BEL	31.45
59410	ITA	10.61
59410	PRT	38.94
59410	ROU	9.2
59414	ITA	45.97
59418	BEL	39.11
59421	BEL	37.66
59421	ITA	14.18
59421	PRT	34.64
59426	BEL	85.46
59426	ITA	31.49
59426	PRT	24.13
59428	PRT	37.66
59431	BEL	10.3
59431	PRT	50.69
59445	BEL	54.42
59447	BEL	84.26
59447	PRT	3.9
59449	BEL	38.89
59457	ITA	38.4
59457	PRT	30
59479	BEL	65.71
59482	BEL	29.76
59484	BEL	25.25
59484	ITA	19.95
59491	ESP	24.35
59491	ITA	61.63
59491	PRT	4.5
59495	BEL	17.87
59507	BEL	45.89
59507	ITA	18.6
59507	ROU	5.65
59508	BEL	21.13
59508	ESP	4.34
59508	ITA	19.93
59508	PRT	34
59509	ITA	40.74
59512	BEL	16.69
59512	DEU	21.46
59512	ESP	8.18
59512	ITA	9.68
59512	NLD	6.75
59512	PRT	17.03
59512	ROU	0.82
59514	BEL	51.28
59519	BEL	58.82
59526	BEL	78.63
59526	ITA	24.84
59527	ITA	8.62
59527	PRT	34.23
59544	BEL	62.03
59544	ITA	37.43
59548	BEL	68.03
59555	BEL	17.51
59559	BEL	31.38
59569	BEL	57.17
59569	ITA	28.65
59572	BEL	41.04
59574	BEL	20.82
59574	ITA	26.99
59580	BEL	55.61
59584	BEL	44.82
59588	BEL	30.43
59594	BEL	21.74
59598	PRT	47.83
59599	BEL	100
59599	BGR	8.77
59599	ESP	65.88
59599	ITA	50.8
59599	NLD	92.72
59599	POL	14.42
59599	PRT	55.03
59599	ROU	24.6
59601	BEL	46.46
59606	BEL	45.33
59606	ESP	13.88
59606	ITA	17.04
59606	POL	5.84
59606	PRT	22.04
59606	ROU	13.08
59613	BEL	23.06
59616	BEL	62.06
59616	ITA	29.42
59618	BEL	30.53
59624	PRT	68.61
59627	BEL	56.75
59632	ITA	32.35
59633	BEL	98.45
59636	BEL	46.21
59646	BEL	76.48
59646	ITA	23.58
59646	PRT	25.51
59648	DEU	3.7
59650	BEL	19.17
59650	ESP	24.29
59650	ITA	15.6
59650	POL	2.04
59650	PRT	19.89
59654	ITA	55.56
59656	BEL	42.5
59656	ESP	27.5
59656	PRT	21.88
